ID;Nom_Fondation;Groupe_Parent;Priorite;Thematiques_Cibles;Nom_Contact;Poste_Contact;Email_Contact;Site_Web;Lien_Depot_AAP;Ticket_Moyen_Estime;Type_Approche;Angle_Pitch_Ambition_Campus;Statut_Prospection;Notes_Action
FOND-01;Fondation CANAL+ / Groupe Bolloré;Groupe Canal+ / Bolloré SE;Tier 1 - Piste Chaude;Égalité des chances, Insertion jeunes, Accès culture & médias;Marine Schenfele;Déléguée Générale Fondation Canal+;fondation@canal-plus.com / mecenat@bollore.com;https://www.canalplusgroup.com/fr/groupe/nos-engagements;Recommandation directe via équipe Canal+ (Contact chaud);15 000 € - 30 000 €;Outreach recommandé (Email direct citant l'introducteur Canal+);Partenariat 17 ans, 500+ jeunes QPV propulsés vers les filières sélectives, ROI social 1€=5,30€.;À contacter en priorité (Email prêt);Envoyer le template d'email Bolloré avec la plaquette A4 en pièce jointe.
FOND-02;Fondation Solidarité PwC France;PwC France et Maghreb;Tier 1 - Piste Chaude;Égalité des chances, Éducation, Insertion économique & sociale;Adélaïde de Tourtier / Candice Galopeau;Directrice RSE & Déléguée Fondation / Resp. Engagement Sociétal;via pwc.fr/fr/fondation.html (ou prenom.nom@pwc.com);https://www.pwc.fr/fr/fondation.html;Contact direct partenariats existants;10 000 € - 20 000 €;Upgrade de partenariat (Collaborateurs PwC déjà jurys aux oraux blancs);Transformer leur implication de jury bénévole en mécénat financier officiel annuel.;À contacter en priorité;Proposer une convention annuelle de mécénat avec accueil d'une masterclass dans leurs locaux.
FOND-03;Fondation Deloitte France;Deloitte France;Tier 1 - Piste Chaude;Éducation en zones prioritaires (ZEP/REP), Égalité des chances, Employabilité;Direction de l'Engagement / Pôle Attractivité;Responsable Mécénat Éducation & RSE;frpoleattractivite@deloitte.fr;https://www2.deloitte.com/fr/fr/pages/about-deloitte/articles/fondation-deloitte.html;Prix de la Fondation Deloitte & Contact direct partenariats;10 000 € - 20 000 €;Upgrade de partenariat (Collaborateurs Deloitte déjà jurys);Pérennisation du pôle oraux blancs (210+ simulations) et bourses de mobilité.;À contacter en priorité;Cibler le responsable mécénat éducation à la Tour Majunga / La Défense.
FOND-04;Direction Engagement Citoyen KPMG;KPMG France (Entreprise à Mission);Tier 1 - Piste Chaude;Éducation, Égalité des chances (« Les Lycées de la Réussite »), Insertion;Direction de l'Engagement Citoyen;Directeur / Chargé de mission RSE & Mécénat;contact via Tour Eqho (ou prenom.nom@kpmg.fr);https://kpmg.com/fr/fr/about/engagement-citoyen.html;Programme Les Lycées de la Réussite (synergie directe);10 000 € - 15 000 €;Upgrade de partenariat (Collaborateurs KPMG déjà jurys);Alignement total avec leur programme « Les Lycées de la Réussite » et les 36 lycées conventionnés.;À contacter en priorité;Solliciter un call de 15 minutes avec le pôle Engagement Citoyen.
FOND-05;Fondation d'Entreprise EY France;EY France (Ernst & Young);Tier 1 - Piste Chaude;Insertion par la formation, égalité des chances, mécénat de compétences;Fabienne Marqueste / Orane Tribouley;Déléguée Générale / Resp. accompagnement projets;via http://www.fondation-ey.com (prenom.nom@fr.ey.com);http://www.fondation-ey.com;Formulaire de candidature et contact direct;8 000 € - 15 000 €;Upgrade de partenariat (Collaborateurs EY déjà jurys);Co-financement des ateliers de prise de parole et préparation aux concours sélectifs.;À contacter en priorité;Prendre contact avec Orane Tribouley à la Tour First (Paris La Défense).
FOND-06;Fondation BNP Paribas (Projet Banlieues);BNP Paribas;Tier 2 - Grand Donateur;Quartiers Prioritaires (QPV), Éducation, Insertion des jeunes;Isabelle Giordano;Déléguée Générale Fondation BNP Paribas;via https://projet-banlieues.fondation.bnpparibas/fr/;https://fondation.bnpparibas;https://projet-banlieues.fondation.bnpparibas/fr/ (Campagne annuelle Jan-Mars);15 000 € - 30 000 €;Candidature AAP officiel + Contact institutionnel;Ancrage exclusif en QPV/REP depuis 17 ans, +500 lycéens accompagnés, 100% bénévole.;À préparer pour la prochaine session AAP;Préparer le dossier avec les statuts, bilan comptable et attestation d'intérêt général.
FOND-07;Fondation Société Générale (« C'est vous l'avenir »);Société Générale;Tier 2 - Grand Donateur;Éducation, Savoirs fondamentaux, Insertion professionnelle des jeunes <30 ans;Albane Rouvillois;Déléguée Générale & Directrice Mécénat;Fondation-SocieteGenerale@socgen.com;https://fondation.societegenerale.com;https://submit.fondation.societegenerale.com/fr;15 000 € - 35 000 €;Dépôt de dossier plateforme + Email d'accroche;Insertion par l'excellence académique : 21 admis Sciences Po, 17 Sorbonne, 13 Prépas.;À contacter;Envoyer un email d'introduction à Fondation-SocieteGenerale@socgen.com.
FOND-08;Fonds MAIF pour l'Éducation;MAIF;Tier 2 - Grand Donateur;Éducation, Inclusion, Émancipation des publics vulnérables, Égalité des chances;Secrétariat Général du Fonds MAIF;Responsable des Appels à Projets Éducation;fondsmaif@maif.fr;https://fonds-maif-education.fr;https://fonds-maif-education.fr/appels-a-projets;5 000 € - 15 000 €;Candidature AAP annuel (prix départementaux & nationaux);Lutte contre le déterminisme social et émancipation intellectuelle des lycéens REP.;À contacter;Candidater sur le volet Île-de-France et antenne Poitiers (proximité siège Niort).
FOND-09;Fondation d'Entreprise Banque Populaire / BPCE;Groupe BPCE (Banque Populaire / Caisse d'Épargne);Tier 2 - Grand Donateur;Projets de vie, Parcours d'audace, Insertion des jeunes;Martine Tremblay / Léonard Barbu;Directrice Mécénat / Chargé de projets;martine.tremblay@fnbp.banquepopulaire.fr;https://www.fondationbanquepopulaire.fr;https://www.fondationbanquepopulaire.fr/deposer-un-projet/;10 000 € - 20 000 €;Email direct + Dépôt de candidature;Révéler l'audace et briser le plafond de verre des lycéens issus des quartiers.;À contacter;Prendre contact avec l'équipe mécénat à Paris 13e.
FOND-10;Fonds AXA pour le Progrès Humain & AXA Atout Cœur;AXA France;Tier 2 - Grand Donateur;Inclusion sociale, Éducation, Égalité des chances QPV;Direction Mécénat AXA France;Responsable Partenariats Associatifs;via https://www.axa.fr/engagements/axa-atout-coeur.html;https://www.axa.com/fr/le-fonds-axa-pour-le-progres-humain;Plateforme partenariats associatifs AXA;10 000 € - 25 000 €;Mécénat financier + Mobilisation de mentors AXA;Coût de 35 €/jeune et impact mesuré : ratio 1€ investi = 5,30€ de valeur terrain.;À contacter;Proposer une convention de soutien financier couplée au bénévolat AXA Atout Cœur.
FOND-11;Fondation TotalEnergies;TotalEnergies SE;Tier 2 - Grand Donateur;Éducation, Insertion des jeunes vulnérables, Égalité des chances;Jacques-Emmanuel Saulnier;Délégué Général Fondation TotalEnergies;via https://fondation.totalenergies.com (01 47 44 45 46);https://fondation.totalenergies.com;https://fondation.totalenergies.com/fr/candidater (Plateforme annuelle);20 000 € - 50 000 €;Candidature AAP national / territorial + Contact institutionnel;Grande échelle : 500+ lycéens/an, 36 lycées conventionnés sur 4 régions françaises.;À contacter;Surveiller l'ouverture du prochain AAP national ou déposer une demande spontanée.
FOND-12;Fondation Groupe SNCF;SNCF;Tier 3 - Partenaire Institutionnel;Insertion des jeunes, Réussite éducative, Construction de parcours de vie;Laetitia Gourbeille;Déléguée Générale Fondation Groupe SNCF;fondation@sncf.fr;https://www.fondation-sncf.org;Dispositif Coups de Cœur Citoyens & Partenariats pluriannuels;10 000 € - 25 000 €;Email direct de prise de contact institutionnelle;Accompagnement dans la durée (mentorat sur 1 à 3 ans) et présence territoriale (Paris, Reims, Poitiers, Menton).;À contacter;Envoyer une présentation synthétique à fondation@sncf.fr.
FOND-13;Fondation Groupe RATP;Groupe RATP;Tier 3 - Partenaire Institutionnel;Insertion sociale, Éducation, Égalité des chances en Île-de-France;Direction de la Fondation Groupe RATP;Secrétaire Général & Responsables Mécénat;via https://www.ratp.fr/groupe-ratp/fondation-groupe-ratp;https://www.ratp.fr/groupe-ratp/fondation-groupe-ratp;Appels à projets thématiques annuels Île-de-France;10 000 € - 20 000 €;Candidature AAP + Approche territoriale francilienne;Forte implantation francilienne (445 binômes actifs dans les départements 75, 92, 93, 94).;À contacter;Positionner le dossier sur la mobilité sociale et l'accès aux études supérieures.
FOND-14;Fondation Groupe ADP (Aéroports de Paris);Groupe ADP;Tier 3 - Partenaire Institutionnel;Éducation, Prévention du décrochage, Insertion jeunes en Île-de-France;Direction RSE & Mécénat Groupe ADP;Responsable des Partenariats Mécénat;via https://www.parisaeroport.fr/groupe/rse/fondation;https://www.parisaeroport.fr;Appels à projets annuels (Ouverture Janvier-Mars);10 000 € - 20 000 €;Candidature AAP sur les territoires 93/94/95 proches aéroports;Accompagnement intensif des lycées situés sur les bassins Roissy / Orly.;À contacter;Cibler les lycées conventionnés situés à proximité des plateformes aéroportuaires.
